OBJECTID,DISTRICT,SCHOOL,EDTYPE,GRADELOW,GRADEHIGH,ADDRESS,CITY,ZIP
1,NEBO,AMERICAN PREPARATORY ACADEMY - SALEM,Regular Education,K,10,1195 S ELK RIDGE DRIVE,SALEM,84653
2,NEBO,MAPLE RIDGE SCHOOL,Regular Education,K,6,2340 WEST HARVEST PARKWAY,MAPLETON,84664
3,NEBO,MEADOW BROOK SCHOOL,Regular Education,K,6,748 S 950 W,SPRINGVILLE,84663
4,NEBO,MT. NEBO JUNIOR HIGH,Regular Education,7,10,851 W 450 S,PAYSON,84651
5,NEBO,BROCKBANK SCHOOL,Regular Education,PK,6,340 W 500 N,SPANISH FORK,84660
6,NEBO,BROOKSIDE SCHOOL,Regular Education,PK,7,750 E 400 S,SPRINGVILLE,84663
7,NEBO,CANYON SCHOOL,Regular Education,PK,6,1492 E 1240 S,SPANISH FORK,84660
8,NEBO,WESTSIDE SCHOOL,Regular Education,PK,7,740 W CENTER ST,SPRINGVILLE,84663
9,NEBO,WILSON SCHOOL,Regular Education,PK,6,590 W 500 S,PAYSON,84651
10,NEBO,PAYSON JR HIGH,Regular Education,7,9,1025 S HIGHWAY 6,PAYSON,84651